File created: 2021-12-02
Data loaded from: C:\Users\mark.robertson\projects\baseflow_monthly\reservoirs_19901001_20200930
Values in ac-ft
date,American Falls,Anderson Ranch,Arrowrock,Bear Lake,Grassy Lake,Henrys Lake,Island Park,Jackson Lake,Lake Lowell,Lake Owyhee,Little Wood,Lucky Peak,Mackay,Magic,Oakley,Palisades,Ririe,Salmon Falls,month
2016-06-01,1368270,443084,243812,632909,15318,89263,134635,791741,150890,454303,29640,283522,41710,179600,33116,1187382,80033,91700,6
2016-07-01,893459,415636,180279,652961,14943,88591,107019,781467,124227,383384,26460,292679,41990,170400,24934,1174434,79569,78900,7
2016-08-01,511729,338369,91004,565170,12063,84137,48841,668256,99816,302905,17554,294630,28820,125500,17965,801652,75318,59500,8
2016-09-01,228493,266598,51191,461054,12104,78392,22680,543592,75402,218004,9872,233760,15530,75700,12140,418937,66774,38100,9
2016-10-01,177845,250710,78187,417022,12254,75305,26739,444172,93034,166246,8075,87135,12300,55480,10331,296924,49019,32500,10
2016-11-01,346725,252136,103327,440372,12836,76262,49249,484157,98268,179068,12370,67153,14670,64410,11543,319314,40546,34700,11
2016-12-01,624887,255004,140590,446780,13254,77823,65647,511203,96876,193912,17230,70407,28170,78000,13810,456322,43109,36800,12
2017-01-01,875790,253633,169712,459106,13766,80358,77477,533766,96876,212882,20222,77812,34030,83320,16200,552916,45635,39300,1
2017-02-01,1115509,254284,211194,493608,14096,82412,87701,555077,98931,246835,23600,80742,38480,87620,18250,638314,48394,43300,2
2017-03-01,1458915,276809,216327,540854,14518,84913,98736,586479,99079,504381,11541,125800,35520,98890,38217,725976,50148,81400,3
2017-04-01,1462803,372319,128835,663679,13531,87527,116382,536577,145638,675407,12825,170268,20500,186100,46765,461948,63801,111200,4
2017-05-01,1604117,400384,137571,883300,13318,88390,128816,462150,154256,713474,14685,186972,16640,181500,56893,335765,74881,146200,5
2017-06-01,1645907,437276,261322,1080854,14940,88124,134962,675060,153368,715507,26211,219798,25710,184900,60643,820867,80955,163300,6
2017-07-01,1680144,444732,257368,1207089,15253,91163,135846,841650,142354,682112,29726,288065,43380,188400,52995,1394575,80688,157100,7
2017-08-01,1326412,404980,188660,1201464,13710,86804,122997,820768,103995,589316,28490,292405,43490,177000,40826,1389173,79853,129900,8
2017-09-01,896866,344073,98310,1151608,11842,82922,114985,737626,77823,495122,17687,291830,40430,134500,32062,1297219,77472,104500,9
2017-10-01,816973,336277,125333,1114457,12142,82152,109489,650091,98415,432189,12672,141729,38040,107800,28503,1259668,76200,92810,10
2017-11-01,1051384,340041,170580,1090719,12318,80867,111655,637096,121265,422005,12127,74270,38140,123300,29666,1290848,40929,92050,11
2017-12-01,1342023,352038,229683,1058556,12705,82412,116976,655176,120124,441546,17505,81751,37590,138300,31657,1360787,40310,92680,12
2018-01-01,1432865,356373,250204,1035514,12997,81958,118324,655661,118611,461448,21398,112928,33640,150100,33435,1354904,43545,93090,1
2018-02-01,1436753,360541,254505,1011720,13336,82282,119759,657116,118134,490608,25064,160500,34040,159600,35263,1352846,47059,94060,2
2018-03-01,1450879,366229,246950,991511,13612,81700,119532,656631,116711,513846,28105,215387,37470,171200,36702,1334782,50554,93520,3
2018-04-01,1575031,388933,252109,994297,13822,82347,119532,655661,143128,569799,26695,236757,37530,184500,40275,1109360,57477,98770,4
2018-05-01,1618905,423780,239081,1027066,14385,85304,122007,625557,152037,574051,29089,259345,39900,192700,42437,762390,80594,105500,5
2018-06-01,1666837,446381,260832,1071765,15259,91843,134389,780450,152924,523062,29824,286736,44020,191900,38915,1237873,80924,100400,6
2018-07-01,1646462,422545,200080,1040329,15247,92254,135525,844960,139953,452226,28848,292815,44160,182200,31250,1395720,81841,86400,7
2018-08-01,1003569,352358,108854,961594,12650,87395,111580,802316,104520,361755,21301,292787,38490,137700,22425,1264497,78279,62000,8
2018-09-01,536315,291852,49063,864002,11656,82217,100268,735900,79045,275023,14729,241819,29830,92520,16601,987514,74432,40620,9
2018-10-01,328435,276878,71106,802277,11767,77949,98472,645512,83505,220520,11084,98371,24800,61260,12109,831198,65065,31870,10
2018-11-01,531664,274654,91914,798179,11981,77760,108281,647437,94114,222651,12905,70907,24820,68780,13450,815071,40567,33070,11
2018-12-01,818965,272746,120379,796814,12273,79853,119076,651546,94331,236986,15609,72317,26750,75280,14401,930871,42991,34830,12
2019-01-01,1097222,270845,147759,809794,12516,81636,119759,652752,94331,253994,18283,76290,30610,79880,17323,1031930,45215,35960,1
2019-02-01,1356135,270067,175129,820743,12748,83367,119306,657116,94621,273814,21088,84104,33520,83320,18930,1124722,47515,39080,2
2019-03-01,1558774,272032,188162,833765,13134,86086,118174,672372,95635,305388,17892,118215,35390,88640,24087,1213651,50101,41320,3
2019-04-01,1521159,281462,134172,853681,13275,86542,108848,660747,135542,434418,5630,174409,33280,82670,27364,1124163,52206,46760,4
2019-05-01,1590836,407203,214598,917177,13699,89669,114330,654207,152126,646425,22491,234052,28870,182200,35835,853499,68501,82170,5
2019-06-01,1684718,430637,209121,990815,15293,89669,133336,696262,154167,701601,29156,292295,28900,191100,47925,1003901,81318,113398,6
2019-07-01,1446473,443884,225101,1065473,15243,92598,135365,838838,132027,694372,29908,291309,44500,189900,47411,1395560,80672,131400,7
2019-08-01,910695,398627,139727,1031254,13086,88993,118773,798024,103468,612929,25685,292048,39040,165800,36189,1271026,79157,111000,8
2019-09-01,440081,363807,49244,931732,11501,84201,103128,693583,84616,519670,17998,249092,26850,122200,27943,1072053,75655,88380,9
2019-10-01,280487,318189,58628,899877,11776,82152,99264,571332,103092,456892,12169,145922,22840,92290,23565,1035024,62818,77670,10
2019-11-01,451792,317335,103578,897113,11984,80105,106529,577225,108014,444419,11476,105019,24570,104300,26378,1075564,40557,77720,11
2019-12-01,732024,316073,145210,901260,12166,81443,118324,583155,107555,459992,15231,94536,29660,115300,28244,1176145,43413,78060,12
2020-01-01,1019940,315444,185094,909562,12445,84008,120206,595247,105731,481327,18806,89206,34190,123000,30981,1249772,46128,79670,1
2020-02-01,1314308,315482,224047,912330,12830,85827,119980,613367,107174,508733,22334,88354,37480,128500,32063,1314040,49031,81760,2
2020-03-01,1552594,313894,243023,908177,13042,87395,118097,625323,105125,538700,25280,109760,39400,134500,34653,1338531,51374,83300,3
2020-04-01,1640676,323349,216976,912330,13266,88524,116234,642144,118531,600197,27802,182805,40970,149700,37978,1252909,55925,90650,4
2020-05-01,1667392,349964,180813,957423,13630,89942,120355,643106,133528,596803,28770,236414,42080,157900,41177,964834,71561,103400,5
2020-06-01,1667946,379965,215947,1122425,15398,90622,135041,775944,143300,576471,26099,287956,40290,130500,42547,1133688,81349,107800,6
2020-07-01,1522879,388330,236608,1006840,15277,91570,134794,841650,137570,525709,23499,292733,37960,103800,36950,1399340,80877,97880,7
2020-08-01,1009378,342737,142474,944918,13612,86869,98001,796003,108241,446264,16326,292185,26790,58930,28978,1232409,78154,76910,8
2020-09-01,599577,297712,61609,855057,11149,81636,75508,704615,87979,357918,7609,242115,13070,9947,20230,974018,73456,53160,9
