Monthly reservoir statistics
Data from NRCS ReportGenerator
File created: 2022-02-16
Water years: WY1991-2020
Units: KAF
basin,Jan median,Feb median,Mar median,Apr median,May median,Jun median,Jul median,Aug median,Sep median,Oct median,Nov median,Dec median,Jan std,Feb std,Mar std,Apr std,May std,Jun std,Jul std,Aug std,Sep std,Oct std,Nov std,Dec std
Boise,517.953,566.7345,597.127,644.154,702.368,874.4475,951.2185,797.1515,602.1395,449.366,427.897,465.7215,155.702997193692,154.70579868239787,150.17082644306484,150.31675614912848,143.19450943001377,137.71988620920317,180.65983184822767,200.99321678722933,187.31015007049106,155.42233306258174,140.5560244679483,148.96152670315402
Upper Snake,1463.436,1525.872,1519.67,1370.747,1324.9935,1663.1835,2128.9445,1886.309,1548.14,1321.3595,1247.1015,1363.5025,513.0031392453791,494.86660170146723,457.88204352999037,415.39184543145177,411.94430170090186,339.810484716538,354.52357963260033,475.86002658010995,529.8557253952835,540.952276448798,538.9840427195826,529.191516230714
Magic,44.75,50.0,61.635,81.38,146.8,139.5,167.05,120.75,71.15,45.45,46.85,40.05,46.98842107921101,49.09808493584874,47.64445424904829,52.754956160916585,54.90124100935985,61.813057078600295,73.79510167839148,70.25965435440172,54.38488394613418,40.38882253479453,41.81483859704054,44.96876290539222
Little Wood,13.8555,16.915,16.099,22.148,26.738,27.2835,26.449,16.94,8.7405,4.9465,6.661,10.159,5.83844452999984,6.00259481439045,6.0352664009043595,7.011228972319964,5.00650272042822,4.144550771657958,6.606719316978233,7.82429390328977,6.659890040512992,5.1187022583068265,5.371015497209477,5.627397889513105
Mackay,23.415,28.24,31.65,32.795,30.97,36.845,41.895,26.595,12.935,6.74,10.32,16.935,7.58299280528852,7.27770805149249,7.047237039085422,6.731971931904798,7.104083203406301,9.426215858036505,13.186480716179013,14.581679555122447,11.492152988417592,9.998489011650308,9.74414161727298,8.673546941806688
Oakley,16.7615,19.115,23.1585,26.632,30.638,33.508,30.575,22.8325,17.5055,11.9545,12.925,14.4005,10.586333794366542,10.601594825806858,10.980608422782538,11.454414615304895,12.797837504289813,15.104058706417176,16.26979742945198,13.832256845637234,11.942476355959165,11.28313084806175,10.742233019641484,10.606255662005141
Salmon Falls,32.3,34.4975,36.9725,44.73,58.65,75.3,78.3,57.95,38.35,26.115,27.0875,29.55,25.896452564520047,25.597313023498945,25.92369993415026,27.819089350639256,31.74694073176873,38.02249801929887,43.09634860022846,38.22580257120371,31.567560020706694,27.715429862521848,26.820618499494046,26.33461599616591
Lake Owyhee,213.8985,258.771,304.4985,460.006,502.385,502.8375,430.935,340.3735,249.8245,180.792,173.691,189.2675,164.93192492320796,176.16088022065537,167.4113749817888,171.79840377412688,179.6652257048213,200.65867484592016,210.9819541681204,203.89314257052092,190.23075155221238,173.99856941573685,162.65153016005382,163.18239155605966
Bear Lake,456.5065,467.875,482.8865,510.634,572.815,635.615,640.6355,567.8495,490.0635,421.5435,430.957,445.806,313.77322675372363,309.63995524198333,304.5969171515546,293.7133369106688,298.4133991490991,316.69391856884226,331.6389528396426,350.4453260444176,354.03213047003317,343.4825829313554,333.8948003906166,321.6075876804476
