site_id,site_name,basins,site_number,elev,sec,twp,rng,config,former association,county,quad_map,ownership,status,record,state,longitude,latitude,aws url string
770,Somsen Ranch,"Willow-Blackfoot-Portneuf, Snake Above Palisades",11G01S,6800,25,5S,43E,SNTL,Willow,Caribou,Wayan East,Private,A,-81,ID,-111.3593,42.9528,Somsen%20Ranch
774,South Mountain,Owyhee,16G01S,6500,35,7S,5W,SNTL,Owyhee,Owyhee,Williams Creek,Private,A,-82,ID,-116.9004,42.7648,South%20Mountain
779,Spring Creek Divide,"Snake Above Palisades, Bear",,9000,,,,SNTL,,,,,,,WY,,,Spring%20Creek%20Divide
782,Squaw Flat,"Payette, Weiser, Salmon, West Central, Central",16E05S,6240,32,17N,2E,SNTL,Weiser,Adams,No Business Mountain,Payette NF,A,-82,ID,-116.2486,44.7708,Squaw%20Flat
1203,Stag Mountain,Bruneau,,7640,,,,SNTL,,,,,,,NV,,,Stag%20Mountain
792,Stickney Mill,"Big Lost, Wood and Lost, Central",14F02S,7430,9,6N,19E,SNTL,Big Lost,Custer,Phi Kappa Mountain,Challis NF,A,-82,ID,-114.209,43.8612,Stickney%20Mill
803,Sunset,Coeur D'Alene-St. Joe,15B09S,5540,33,49N,5E,SNTL,Coeur d'Alene,Shoshone,Burke,Private,A,-82,ID,-115.8242,47.5555,Sunset
805,Swede Peak,"Little Wood, Wood and Lost, Central",13F09S,7640,4,3N,21E,SNTL,Little Wood,Blaine,Star Hope Mine,Sawtooth NF,A,-81,ID,-113.9689,43.626,Swede%20Peak
811,Taylor Canyon,Owyhee,,6325,,,,SNTL,,,,,,,NV,,,Taylor%20Canyon
816,Thumb Divide,"Snake Above Palisades, Snake Above Jackson Lake",,7980,,,,SNTL,,,,,,,WY,,,Thumb%20Divide
1136,Toe Jam,Owyhee,,7690,,,,SNTL,,,,,,,NV,,,Toe%20Jam
822,Togwotee Pass,Snake Above Palisades,,9580,,,,SNTL,,,,,,,WY,,,Togwotee%20Pass
823,Tony Grove Lake,Bear,,8474,,,,SNTL,,,,,,,UT,,,Tony%20Grove%20Lake
828,Trial Lake,Bear,,9992,,,,SNTL,,,,,,,UT,,,Trial%20Lake
830,Trinity Mountain,"Boise, West Central, Central",15F05S,7770,6,3N,9E,SNTL,Middle Fork Boise,Elmore,Little Trinity Lake,Boise NF,A,-81,ID,-115.4382,43.629,Trinity%20Mtn.
831,Triple Peak,Snake Above Palisades,,8500,,,,SNTL,,,,,,,WY,,,Triple%20Peak
835,Twelvemile Creek,Clearwater,,5600,,,,SNTL,,,,,,,MT,,,Twelvemile%20Creek
836,Twin Lakes,Clearwater,,6400,,,,SNTL,,,,,,,MT,,,Twin%20Lakes
837,Two Ocean Plateau,"Snake Above Palisades, Snake Above Jackson Lake",,9240,,,,SNTL,,,,,,,WY,,,Two%20Ocean%20Plateau
1098,Usu Doc Daniel,Bear,,8270,,,,SNTL,,,,,,,UT,,,Usu%20Doc%20Daniel
979,Van Wyck,"Payette, Weiser, West Central, Central",16E14S,4920,16,12N,1E,SNTL,Weiser,Washington,Twin Sisters,State,A,-1,ID,-116.3366,44.3767,Van%20Wyck
845,Vienna Mine,"Boise, Salmon, West Central, Central",14F04S,8960,1,5N,13E,SNTL,Salmon,Blaine,Frenchman Creek,Private,A,-82,ID,-114.8527,43.7994,Vienna%20Mine
855,West Branch,"Weiser, Salmon, West Central, Central",16D08S,5560,15,20N,1W,SNTL,Weiser,Adams,Railroad Saddle,Payette NF,A,-83,ID,-116.4541,45.0722,West%20Branch
860,White Elephant,Henrys Fork-Teton,11E36S,7710,17,14N,43E,SNTL,Henrys Fork,Fremont,Sawtell Peak,Targhee NF,A,-83,ID,-111.4109,44.5327,White%20Elephant
867,Wildhorse Divide,Willow-Blackfoot-Portneuf,12G17S,6490,4,8S,34E,SNTL,Portneuf,Bannock,Pocatello South,Caribou NF,A,-86,ID,-112.4778,42.7574,Wildhorse%20Divide
868,Willow Creek,Snake Above Palisades,,8080,,,,SNTL,,,,,,,WY,,,Willow%20Creek
871,Wilson Creek,"Bruneau, Salmon Falls",15G02S,7120,24,16S,12E,SNTL,Salmon Falls,Twin Falls,Curtis Draw,Private,A,-91,ID,-115.0028,42.0126,Wilson%20Creek
878,Younts Peak,Snake Above Palisades,,8350,,,,SNTL,,,,,,,WY,,,Younts%20Peak
455,Dry Bread Pond,Bear,,8320,,,,SNTL,,,,,,,UT,,,Dry%20Bread%20Pond
